Organization,Number of Awards,Total Funding,Number of Researchers,Avg Funding per Award
OPEN MOLECULAR SOFTWARE FOUNDATION,2,2999304.0,4,1499652.0
Enable Biosciences Inc,1,750000.0,1,750000.0
"BRIO DATA GROUP, LLC",1,256000.0,1,256000.0
CLUE GENETICS INC.,1,275000.0,1,275000.0
TURBO POWER SEMICONDUCTOR INC.,1,305000.0,1,305000.0
University of Alaska Anchorage Campus,2,430000.0,5,215000.0
GIWOTECH INC.,1,305000.0,2,305000.0
"INHERENT TARGETING, LLC",1,244277.0,1,244277.0
Morgan State University,3,1011483.0,8,337161.0
Kapalya Inc,2,1249390.0,1,624695.0
"MELLICELL, INC.",1,275000.0,1,275000.0
Secure Food Solutions,1,256000.0,2,256000.0
"QUANTIVLY, INC.",2,1235156.0,1,617578.0
"IDEM, LLC",1,749891.0,1,749891.0
LABFORINVENTION CORP,1,273985.0,1,273985.0
"Corsha, Inc.",2,1249567.0,2,624783.5
"Z-POLYMERS, LLC",1,275000.0,1,275000.0
"FAKHRO, LOUAY K",2,1253142.0,1,626571.0
Georgia Piedmont Technical College,2,1398156.0,4,699078.0
"NEUROGENECES, INC.",1,255732.0,1,255732.0
LAB2701 LLC,1,272615.0,1,272615.0
"INNOTECH PRECISION MEDICINE, INC",1,305000.0,1,305000.0
New York Genome Center,1,299756.0,1,299756.0
RADIOSIGHT LLC,1,256000.0,2,256000.0
"PERSEUS MATERIALS, INC.",1,265072.0,1,265072.0
Hyphae Design Lab,1,999592.0,1,999592.0
MULTISCALE INTEGRATED TECHNOLOGY SOLUTIONS LLC,1,256000.0,3,256000.0
ALGOFACE INC,1,274996.0,1,274996.0
"BIOSUPERIOR TECHNOLOGY, INC.",1,255987.0,2,255987.0
"OWIC TECHNOLOGIES, INC.",2,1224885.0,1,612442.5
Emergy LLC,1,750000.0,1,750000.0
Salisbury University,1,380000.0,3,380000.0
Taproot Medical Technologies,1,732982.0,1,732982.0
E-ROOTREE LLC,1,262960.0,1,262960.0
Articulate.AI Inc.,1,256000.0,1,256000.0
Syracuse University,6,2724205.0,13,454034.1666666667
CHOSEN DIAGNOSTICS INC,2,1224507.0,3,612253.5
"South 8 Technologies, Inc.",1,748424.0,1,748424.0
SINGLETO2 THERAPEUTICS LLC,1,255999.0,2,255999.0
Skyven Technologies,1,750000.0,1,750000.0
"ZINN LABS, INC.",1,984161.0,1,984161.0
Roane State Community College,1,546151.0,2,546151.0
UNCAGED INNOVATIONS INC,1,254767.0,1,254767.0
SOUVIE BIODELIVERY LLC,1,225000.0,1,225000.0
University of Alabama in Huntsville,1,50000.0,1,50000.0
ZYMOSENSE INC.,1,256000.0,1,256000.0
Aquasys LLC,1,1000000.0,1,1000000.0
"NEXTILES, INC.",1,255753.0,1,255753.0
NanoSUR LLC,1,745283.0,1,745283.0
"GRAYSKYTECH, INC",1,275000.0,1,275000.0
embr labs inc.,1,749995.0,2,749995.0
SRI International,3,6498133.0,4,2166044.3333333335
ALLIED MICROBIOTA LLC,1,711620.0,1,711620.0
"INTHEPENDANT, INC.",1,224988.0,1,224988.0
James Madison University,1,996879.0,4,996879.0
PATH EX,1,750000.0,1,750000.0
OMICSCRAFT LLC,1,256000.0,1,256000.0
"SCHNACKEL ENGINEERS, INC",1,275000.0,1,275000.0
"Relavo, Inc",1,1000000.0,1,1000000.0
QUBITSOLVE INC.,2,1472002.0,1,736001.0
Winston-Salem/Forsyth County Schools,1,727957.0,1,727957.0
WINTER INNOVATIONS INC.,2,1256000.0,1,628000.0
Integrated Medical Sensors,1,256000.0,1,256000.0
"BIOCHIP LABS, INC.",2,1160947.0,3,580473.5
TEVERRA LLC,1,255963.0,1,255963.0
"AQUAGENX, LLC",1,246500.0,1,246500.0
"PHOTONLAB, INC.",1,727126.0,1,727126.0
"LIFESPAN DIGITAL HEALTH, LLC",1,255409.0,2,255409.0
"AQUEDUCT FLUIDICS, LLC",1,1000000.0,2,1000000.0
"BRADLEY, CARYN",1,255990.0,2,255990.0
"Agile Focus Designs, LLC",1,750000.0,1,750000.0
"NUTHATCH ROBOTICS, INC.",1,256000.0,1,256000.0
"AI-RIS, LLC",1,255945.0,1,255945.0
Illinois Institute of Technology,4,7357291.0,16,1839322.75
"LITTLE ROOM INNOVATIONS, LLC",1,274975.0,2,274975.0
ROWLAND ROBERT REEVES,1,275000.0,1,275000.0
"MFB FERTILITY, INC.",1,256000.0,1,256000.0
RECURRENT MOTORS INC.,1,251958.0,1,251958.0
"BIOSENS8, INC.",2,1256000.0,2,628000.0
"RADIUS TECHNOLOGY SYSTEMS, INC",1,275000.0,1,275000.0
Virolock Technologies Limited Liability Company,1,274459.0,1,274459.0
"PHLUX TECHNOLOGIES, INC.",2,1255805.0,1,627902.5
"MOLTEN SALT SOLUTIONS, LLC",2,1256000.0,1,628000.0
"Abalone Bio, Inc.",1,750000.0,2,750000.0
REBEL MEDICINE INC,2,1255817.0,1,627908.5
PITCH AERONAUTICS INC.,1,274853.0,2,274853.0
"NATRX, INC.",2,1251338.0,2,625669.0
"PHAXTEC, INC.",2,1506000.0,1,753000.0
"VENA VITALS, INC.",2,1256000.0,1,628000.0
SOLOPULSE CORP.,1,274059.0,1,274059.0
XHEME INC.,3,1724625.0,2,574875.0
MAIN ENGINEERING LLC,1,305000.0,1,305000.0
"XAVIER OPTICS, INC.",1,225000.0,1,225000.0
"Niche Biomedical, Inc.",1,999999.0,1,999999.0
NANOPLASMONICS LLC,1,304780.0,1,304780.0
"VITIDORE, INC.",2,1498543.0,2,749271.5
Zaiput Flow Technologies LLC,2,1525000.0,1,762500.0
VIANAIR INC.,1,1000000.0,1,1000000.0
Active Therapy Systems LLC,1,256000.0,1,256000.0
University of Nevada Las Vegas,1,162498.0,4,162498.0
CONTROLPOINT INC.,1,256000.0,1,256000.0
HudsonAlpha Institute for Biotechnology,3,2947229.0,5,982409.6666666666
PETL FLUIDICS LLC,1,256000.0,1,256000.0
"SKIP TECHNOLOGY, INC.",1,978993.0,2,978993.0
"ELECTRASTEEL, INC.",1,255996.0,1,255996.0
National Academy of Sciences,2,382758.0,2,191379.0
"NEW UNIVERSITY OF BRIDGEPORT, INC., THE",1,400000.0,3,400000.0
"Avisi Technologies, Inc",1,1000000.0,1,1000000.0
"AQUAVEO, LLC",1,1436017.0,3,1436017.0
"KAPHA BIO, INC.",1,305000.0,2,305000.0
"SOLVE TECHNOLOGY AND RESEARCH, INC.",1,256000.0,1,256000.0
"WILDLIFE PROTECTION MANAGEMENT, INC.",1,255732.0,2,255732.0
"123 SEE, INC.",2,1256000.0,1,628000.0
"Omics Data Automation, Inc.",1,747352.0,1,747352.0
QUARKSEN LLC,1,275000.0,1,275000.0
"CLEARSIGHT, LLC",1,750000.0,2,750000.0
LIMINAL ESPORTS LLC,1,255945.0,2,255945.0
"LIGHT AND CHARGE SOLUTIONS, LLC",2,531000.0,3,265500.0
University of Arkansas at Pine Bluff,2,1150000.0,7,575000.0
Instapath Inc.,1,1000000.0,1,1000000.0
"IF, LLC",1,255262.0,1,255262.0
University of New Haven,1,400000.0,3,400000.0
"FEMTOMAG, INC.",1,275000.0,2,275000.0
"LOOSE IN THE LAB, INC",1,1555000.0,2,1555000.0
HAWAII INTEGRATED ANALYTICS LLC,1,256000.0,1,256000.0
University of Louisiana at Lafayette,5,1199291.0,8,239858.2
Washington State University,3,1094270.0,9,364756.6666666667
TERC Inc,1,298693.0,3,298693.0
Kent State University,2,600000.0,5,300000.0
"GYROPALM, LLC",1,256000.0,2,256000.0
University of Wisconsin-Eau Claire,1,400000.0,4,400000.0
"Independence Science, LLC",1,254767.0,1,254767.0
RICH EARTH LLC,2,1224924.0,1,612462.0
Swift Coat,1,731823.0,1,731823.0
RAYSECUR INC.,1,1000000.0,1,1000000.0
Multiplier,1,422913.0,3,422913.0
"MACROCOSM, INC.",1,4603600.0,2,4603600.0
Southern Arkansas University Main Campus,1,399997.0,3,399997.0
"BOSTON GEOSPATIAL, INC.",1,253550.0,1,253550.0
"POINTPRO, INC.",1,274564.0,2,274564.0
TIAMI LLC,1,275000.0,1,275000.0
AUGRAY LLC,1,256000.0,1,256000.0
"UbiQD, Inc.",1,750000.0,1,750000.0
AdvanceH2O Corp.,1,256000.0,1,256000.0
"Alchemie Solutions, Inc.",2,1275000.0,1,637500.0
University of Miami,3,650000.0,3,216666.66666666666
Axon Dx LLC,2,1224128.0,1,612064.0
Vanderbilt University Medical Center,3,550000.0,4,183333.33333333334
University of South Dakota Main Campus,3,150000.0,3,50000.0
"INSECTAPEL, LLC",2,1257799.0,4,628899.5
WESTWOOD AEROGEL CO.,1,274855.0,1,274855.0
"QUANSIGHT, LLC",1,1499899.0,1,1499899.0
"BRIMSTONE ENERGY, INC.",1,256000.0,1,256000.0
"CIRCLEIN, INC.",1,631874.0,1,631874.0
The College of New Jersey,1,400000.0,4,400000.0
"Heirloom Carbon Technologies, Inc.",1,255737.0,1,255737.0
"DATASHAPES, LLC",1,256000.0,1,256000.0
TRANSPORT PHENOMENA TECHNOLOGIES,1,986321.0,1,986321.0
ONCOSTING LLC,1,256000.0,3,256000.0
WILO NETWORKS INC.,2,1255694.0,1,627847.0
Kettering University,3,1448824.0,6,482941.3333333333
"Earth Mapping International, Inc.",1,274979.0,1,274979.0
"LUCA AI, LLC",1,304935.0,1,304935.0
"CARIBOU BIOFUELS, INC.",1,255879.0,2,255879.0
Saint Mary's College of California,1,50000.0,1,50000.0
ROCKET PROPULSION SYSTEMS LLC,2,1255993.0,1,627996.5
Charmtech Labs LLC,1,1000000.0,1,1000000.0
PANDA INDUSTRIES INC.,1,256000.0,1,256000.0
"Minnesota State University, Mankato",1,399935.0,3,399935.0
University of Texas of the Permian Basin,1,400000.0,3,400000.0
"Runtime Verification, Inc.",1,750000.0,3,750000.0
University of North Carolina Greensboro,4,649950.0,7,162487.5
OCULOMOTOR TECHNOLOGIES INC.,1,1000000.0,2,1000000.0
"NASACLIP, INC.",1,256000.0,1,256000.0
MYCONAUT LLC,1,275000.0,1,275000.0
University of Illinois at Chicago,8,2248832.0,11,281104.0
TRGel LLC,1,256000.0,1,256000.0
"ONECYTE BIOTECHNOLOGIES, INC.",1,988939.0,1,988939.0
Boston Microtechnology LLC,1,224631.0,1,224631.0
"GREEN LIGHT LABS, INC.",1,999600.0,1,999600.0
Tempo Therapeutics,1,1000000.0,2,1000000.0
"SAPHTX, INC.",1,255933.0,5,255933.0
Flotherm Inc,1,255713.0,1,255713.0
"SLD PHOTONICS, LLC",1,256000.0,1,256000.0
"BURLINGTON BIO, INC.",1,304997.0,1,304997.0
IRONSIDES MEDICAL INC,1,275000.0,1,275000.0
FUTURESTHRIVE LTD,1,256000.0,1,256000.0
Western Kentucky University,1,50000.0,1,50000.0
Virginia Commonwealth University,1,50000.0,1,50000.0
SIMPLYBREATHE L.L.C.,1,255045.0,2,255045.0
qBraid Co.,1,299965.0,1,299965.0
Rutgers University Camden,1,249999.0,1,249999.0
MAGNOLIA ELECTRONICS INC,1,304900.0,1,304900.0
ADIALANTE L.L.C.,2,1461778.0,1,730889.0
"METALMARK INNOVATIONS, PBC",1,998448.0,1,998448.0
"UPSTREAM BIOTECHNOLOGY, INC.",1,994582.0,2,994582.0
LUMO IMAGING LLC,2,1252366.0,2,626183.0
RedLeaf Biologics Inc.,1,750000.0,2,750000.0
"MBF THERAPEUTICS, INC.",1,256000.0,1,256000.0
LUNEWAVE INC.,1,729492.0,1,729492.0
SORCERER CORPORATION,1,304963.0,1,304963.0
IONICSCALE LLC,2,1256000.0,1,628000.0
ECHO MIND AI CORP.,2,1498789.0,2,749394.5
REBORNC LLC,1,275000.0,1,275000.0
"Farther Farms, Inc.",1,991377.0,2,991377.0
Yodel Labs Inc,1,734023.0,1,734023.0
CRYPTO TUTORS LLC,2,1525000.0,1,762500.0
GLOW THERAPEUTICS INC.,1,305000.0,1,305000.0
NEW MEXICO TRADE ALLIANCE,1,999993.0,2,999993.0
Navan Technologies Inc.,1,750000.0,2,750000.0
Red Balloon Security Inc,1,682189.0,3,682189.0
ECHOWEAR LLC,1,255719.0,1,255719.0
"FINIKS FORGE, INC.",1,275000.0,1,275000.0
"FEMTOSENSELABS, LLC",1,274786.0,1,274786.0
"Hats & Ladders, Inc.",1,750000.0,2,750000.0
OPTERA LLP,1,255748.0,2,255748.0
ERISYON INC,1,225000.0,1,225000.0
SONATA SCIENTIFIC LLC,1,727836.0,1,727836.0
SEQUITUR HEALTH CORP,1,999101.0,1,999101.0
University of St. Thomas,1,400000.0,3,400000.0
GENERATE LLC,1,1000000.0,1,1000000.0
MOONLIGHTER FABLAB INC,1,882364.0,2,882364.0
SIGN-SPEAK Inc,2,1506000.0,1,753000.0
"INIA BIOSCIENCES, INC.",1,275000.0,3,275000.0
American Society For Engineering Education,1,5324970.0,3,5324970.0
Bradley University,1,400000.0,3,400000.0
"VCREATE, INC.",2,1256000.0,1,628000.0
MIZAR IMAGING LLC,1,225000.0,2,225000.0
DEEPBITS TECHNOLOGY LLC,2,529125.0,1,264562.5
INNSIGHTFUL INC.,1,256000.0,1,256000.0
"M3D, INC.",1,275000.0,1,275000.0
"ELATEQ, INC.",2,1236248.0,1,618124.0
WHITE ROCK THERAPEUTICS,1,256000.0,1,256000.0
SafelyYou Inc.,1,750000.0,2,750000.0
VERIMMUNE INC.,1,671538.0,1,671538.0
Vassar College,1,1431637.0,4,1431637.0
"PRAGMADX, INC.",1,255910.0,1,255910.0
"Applied Biosensors, LLC",1,747773.0,1,747773.0
"ITERATIVE METHODS, LLC",1,977576.0,1,977576.0
FOLI BIO INC.,1,305000.0,1,305000.0
BESPOKE BIOTHERAPEUTICS LLC,1,256000.0,1,256000.0
"RUBI LABORATORIES, LLC",2,1225905.0,1,612952.5
JUNORA LTD,1,255400.0,2,255400.0
University of New Mexico,5,1593631.0,6,318726.2
NEXTGENEDU INC,1,304993.0,1,304993.0
Bowie State University,2,1399543.0,5,699771.5
FRIA INC.,1,274990.0,1,274990.0
COGNI TRAX,2,1524221.0,1,762110.5
AALMV INC.,2,1296124.0,1,648062.0
"ASTROLABE ANALYTICS, INC.",2,1225000.0,1,612500.0
RESILITIX INTELLIGENCE LLC,2,1488728.0,2,744364.0
Oregon Institute of Technology,1,50000.0,1,50000.0
"EMPO HEALTH, INC.",2,1256000.0,1,628000.0
"L-Infinity Labs, Inc.",1,274356.0,1,274356.0
University of The Virgin Islands,1,350000.0,3,350000.0
"APEXQUANTUM, INC.",1,304999.0,1,304999.0
"IMPACT PROTEOMICS, LLC",1,999684.0,2,999684.0
"TACIT THERAPEUTICS, INC.",1,999255.0,1,999255.0
RUSH RIVER RESEARCH CORPORATION,1,255961.0,1,255961.0
San Francisco State University,2,100000.0,2,50000.0
"SITRATION, INC.",1,255996.0,1,255996.0
Loyola University of Chicago,2,300000.0,2,150000.0
Axalume Inc.,1,725090.0,1,725090.0
SmartBot360,1,256000.0,2,256000.0
PSL FOUNDATION,1,299974.0,1,299974.0
"NANOINNOVATIONS, LLC",1,247239.0,2,247239.0
Federation of American Scientists,1,322000.0,2,322000.0
"ILLUMINANT SURGICAL, INC.",2,1524865.0,1,762432.5
"SYGNAMAP, INC.",1,255994.0,1,255994.0
Mechanismic Inc.,1,1000000.0,3,1000000.0
3DFortify Inc.,1,996150.0,1,996150.0
"SENTIRE MEDICAL SYSTEMS, INC.",2,1445332.0,2,722666.0
PATHOTRAK INC.,1,884848.0,2,884848.0
MIDWEST ELECTRIC PROPULSION COMPANY (MEPCO),1,255920.0,1,255920.0
"BDYWR, LLC",1,256000.0,1,256000.0
ENCAPSULATE LLC,2,1469614.0,1,734807.0
Solsona Enterprise LLC,1,224900.0,2,224900.0
Jefferson College,1,400000.0,4,400000.0
"Kampanics, L.L.C.",1,224999.0,1,224999.0
MYRIAS OPTICS INC,1,1555000.0,2,1555000.0
TAU OPTICS INC.,1,305000.0,2,305000.0
University of West Florida,1,400000.0,3,400000.0
Rocky Mountain Institute,1,492385.0,1,492385.0
SUPER.TECH LABS INC.,1,256000.0,1,256000.0
"NOVELTY FILMS, INC",1,256000.0,1,256000.0
ORBITAL SERVICES CORPORATION LLC,1,274999.0,1,274999.0
Impactivo LLC,1,750000.0,1,750000.0
University of North Carolina at Wilmington,3,1290311.0,5,430103.6666666667
RAPID RADICALS TECHNOLOGY LLC,1,983995.0,1,983995.0
"RETURN TO VENDOR, CO",1,275000.0,1,275000.0
"INTUITAP MEDICAL, INC.",1,1000000.0,1,1000000.0
Curie Co. Inc.,1,1000000.0,1,1000000.0
"JET-SET OFFSET, LLC",1,256000.0,1,256000.0
Esculon LLC,1,750000.0,1,750000.0
"REFIBERED, INC.",1,274955.0,1,274955.0
ROSEBUD BIOSCIENCES INC.,1,274829.0,1,274829.0
GLOBE BIOMEDICAL LLC,1,714786.0,1,714786.0
AMRF LLC,1,274993.0,1,274993.0
NUMIX Materials Inc.,1,256000.0,1,256000.0
SPEKCITON BIOSCIENCES LLC,1,255482.0,1,255482.0
"CISTERNA BIOLOGICS, INC.",1,274980.0,1,274980.0
University of Memphis,4,200000.0,4,50000.0
College of William and Mary,2,250000.0,2,125000.0
Temple University,2,2995461.0,6,1497730.5
"DYNAMIC LOCOMOTION, INC.",1,248418.0,2,248418.0
Mentor on the Go LLC,1,748220.0,1,748220.0
"SUNFLY BRANDS, INC.",2,1254464.0,1,627232.0
"RESELUTE, INC.",2,1254168.0,2,627084.0
"Automated Controversy Detection, Inc.",1,742421.0,3,742421.0
"REFLODX, INC.",1,1000000.0,1,1000000.0
BIRED IMAGING INC,2,561000.0,2,280500.0
"ZestBio, Inc.",1,749380.0,1,749380.0
ATRILITY MEDICAL LLC,1,275000.0,2,275000.0
NEXTCORPS INC,1,4558836.0,3,4558836.0
"VENARUM MEDICAL, LLC",1,255619.0,1,255619.0
Northern Arizona University,4,1581877.0,10,395469.25
Solchroma Technologies Inc,1,749998.0,1,749998.0
"QUALIA OTO, INC.",1,233928.0,1,233928.0
SMART PAD LLC,1,750000.0,1,750000.0
CUNY John Jay College of Criminal Justice,4,1350000.0,6,337500.0
"FREYYA, INC.",1,275000.0,1,275000.0
"OtoNexus Medical Technologies, Inc",1,718106.0,1,718106.0
LEAP PHOTOVOLTAICS INC.,1,255886.0,1,255886.0
"CryoDesalination, LLC",1,255997.0,2,255997.0
NERRATIVE TECHNOLOGY INC.,1,275000.0,1,275000.0
LEARN COLLABORATE INC.,2,1274869.0,1,637434.5
OPTIC FRINGE CORP.,2,1510399.0,2,755199.5
URBAN SKY THEORY INC.,1,254685.0,1,254685.0
QUANTUM FORMATICS CORP.,1,305000.0,1,305000.0
"Nitrate Elimination Company, Inc",2,1504010.0,1,752005.0
IAMBIC INC.,2,1246900.0,1,623450.0
"SPEARSTONE SOLUTIONS, LLC",1,305000.0,1,305000.0
"WELT BIO-MOLECULAR PHARMACEUTICAL, LLC",1,256000.0,1,256000.0
CORINNOVA INC,1,994019.0,1,994019.0
Florida State University,4,6642385.0,7,1660596.25
"TAGORE TECHNOLOGY, INC.",1,978087.0,2,978087.0
University of Montana,3,1255278.0,7,418426.0
FYBRAWORKS FOODS INC.,1,256000.0,1,256000.0
"FROSTDEFENSE ENVIROTECH, INC.",1,995228.0,1,995228.0
"General Engineering & Research, L.L.C.",1,256000.0,1,256000.0
EZRABIO INC.,1,256000.0,1,256000.0
CELEFLUX LLC,1,224998.0,1,224998.0
Utah State University,2,1749996.0,10,874998.0
TEXAS MICROSINTERING LLC,1,305000.0,1,305000.0
"ICTERO MEDICAL, INC.",2,1190378.0,1,595189.0
"StabiLux Biosciences, Inc",2,856000.0,3,428000.0
"MINDTRACE TECHNOLOGIES, INC.",2,1456991.0,1,728495.5
Georgetown University,3,1176361.0,5,392120.3333333333
"BIOTECH NATURALE, INC",1,256000.0,1,256000.0
"NANOPATTERN TECHNOLOGIES, INC.",1,999428.0,1,999428.0
"QUANTUM COPPER, INC.",1,274610.0,1,274610.0
"RAPID FORENSIC CELL TYPING, INC.",1,270578.0,2,270578.0
SECURESEMI CORPORATION,1,255957.0,1,255957.0
CONCHA INC.,1,996723.0,1,996723.0
"SURGICAL VISION SYSTEMS, INC.",1,264016.0,1,264016.0
"Bioxytech Retina, Inc.",1,750000.0,1,750000.0
"DRIVE THERAPEUTICS, L.L.C.",2,1246477.0,2,623238.5
THINTRONICS INC,1,272771.0,1,272771.0
"Rhodium Scientific, LLC",1,273968.0,1,273968.0
"O2M Technologies, LLC",1,982676.0,1,982676.0
"VELLEX COMPUTING, INC.",1,305000.0,1,305000.0
CASCADE BIOCATALYSTS INC.,2,1524918.0,1,762459.0
"HIKARI LABS, INC.",1,225000.0,2,225000.0
BIODEVEK INC,2,1525000.0,1,762500.0
"QUANTUM SIMULATION TECHNOLOGIES, INC.",1,256000.0,1,256000.0
LAVO LIFE SCIENCES INC,2,1488312.0,1,744156.0
NUTRAMAIZE LLC,1,747432.0,2,747432.0
CLEARVIEW OPTICS LLC,1,304987.0,2,304987.0
PANGEA LLC,1,304997.0,1,304997.0
"InkSpace Imaging, Inc.",1,750000.0,2,750000.0
"Kintsugi Mindful Wellness, Inc.",2,1256000.0,1,628000.0
"SCREEN360.TV, INC.",1,273998.0,1,273998.0
Zenobia Therapeutics,1,1000000.0,1,1000000.0
VIAT SERVICES LLC,1,304998.0,1,304998.0
Champlain College Incorporated,1,399995.0,1,399995.0
RooSense LLC,1,256000.0,3,256000.0
"AERHART, LLC",1,274999.0,2,274999.0
"NanoVMs, Inc.",1,231548.0,1,231548.0
FIBROSIX INC.,1,256000.0,2,256000.0
"Altrix Medical, Inc.",1,998441.0,1,998441.0
MOBIUS PBC,1,750000.0,1,750000.0
FLUID REALITY INCORPORATED,1,304991.0,1,304991.0
"A-Alpha Bio, Inc.",2,876472.0,2,438236.0
SOILSERDEM LLC,2,1256000.0,1,628000.0
Saint Louis University,3,6004685.0,9,2001561.6666666667
Middle Tennessee State University,2,314322.0,6,157161.0
DELAQUA PHARMACEUTICALS INC,1,275000.0,1,275000.0
KAI TECH LLC,1,275000.0,1,275000.0
University of Texas Health Science Center San Antonio,1,50000.0,1,50000.0
RIFF LEARNING INC,1,991417.0,1,991417.0
ICORIUM ENGINEERING COMPANY,2,1524504.0,2,762252.0
TERASPATIAL INC,1,274959.0,1,274959.0
"Amplified Sciences, LLC",1,274750.0,1,274750.0
CUNY College of Staten Island,3,150000.0,3,50000.0
FORESIGHTCARES INC.,2,1486155.0,2,743077.5
"EDNA BIOTECH, INC",1,274975.0,1,274975.0
RegenX LLC,1,255947.0,1,255947.0
"MATERIALIZE BIO, INC.",1,274999.0,2,274999.0
"RAPICURE SOLUTIONS, INC.",1,1555000.0,1,1555000.0
Polylux LLC,1,256000.0,1,256000.0
"OBSIDIAN SENSORS, INC.",1,987258.0,1,987258.0
RCAM TECHNOLOGIES,2,1255496.0,2,627748.0
NOVATECH INNOVATIONS LLC,1,304448.0,2,304448.0
"Nth Cycle, LLC",1,976200.0,1,976200.0
"ABSTRACTIVE HEALTH, INC.",2,1524991.0,1,762495.5
"SKYGIG, LLC",3,2225000.0,2,741666.6666666666
SPADXTECH LLC,2,1256000.0,1,628000.0
"SOLESTIAL, INC.",1,999768.0,1,999768.0
PHYTUNES INC,2,1250104.0,1,625052.0
PROTEIN DESIGN SOLUTIONS LLC,1,274640.0,1,274640.0
PINWHEEL SOLAR LLC,1,275000.0,2,275000.0
Rose State College,1,400000.0,2,400000.0
"MetaSeismic, Inc.",1,709140.0,1,709140.0
DIRECT KINETIC SOLUTIONS LLC,2,1240508.0,1,620254.0
"BEESAFE LABS, LLC",1,305000.0,1,305000.0
"E-2 UNLIMITED TECHNOLOGIES, LLC",1,274996.0,1,274996.0
AUXILIUM HEALTH INC,1,275000.0,1,275000.0
FRED HUTCHINSON CANCER CENTER,1,120511.0,1,120511.0
AetherTouch,1,750000.0,8,750000.0
NOMI MATERIALS CORP,2,1505463.0,2,752731.5
VISICELL MEDICAL INC.,1,255536.0,1,255536.0
SYNTOPA INC.,1,304748.0,1,304748.0
REVISION AUTONOMY INC,1,275000.0,1,275000.0
MORNINGBIRD MEDIA CORPORATION,1,272800.0,2,272800.0
KHEMIA METALS INC,1,1230631.0,1,1230631.0
"TERRA AI, INC",1,274361.0,1,274361.0
BONDWELL TECHNOLOGIES LP,1,235506.0,1,235506.0
Council of Graduate Schools,2,5832591.0,5,2916295.5
"Diatomix, Inc.",1,727787.0,2,727787.0
PALANQUIN POWER INC,1,305000.0,1,305000.0
Retinal Registry,1,256000.0,2,256000.0
IMMERGO LLC,2,1256000.0,1,628000.0
"SUBTIDAL, INC.",1,274916.0,1,274916.0
WAVE LUMINA LLC,1,305000.0,1,305000.0
LEVATE LLC,1,999935.0,1,999935.0
University of Tennessee Chattanooga,4,2144145.0,12,536036.25
"Rutgers, The State University of New Jersey",5,250000.0,6,50000.0
"Forward Edge AI, Inc.",2,1272567.0,2,636283.5
"SinWaves, Inc.",1,750000.0,1,750000.0
CSUB Auxiliary for Sponsored Programs Administration,1,399226.0,4,399226.0
Rockefeller University,1,50000.0,1,50000.0
Advanced Silicon Group,1,670835.0,1,670835.0
MYANIML,1,274866.0,1,274866.0
ASTERION AI INC.,2,1505994.0,1,752997.0
Kentucky Community & Technical College System,1,400000.0,2,400000.0
"DIGITAL BAZAAR, INC.",1,499696.0,3,499696.0
"Serinus Labs, Inc.",1,999954.0,1,999954.0
Southeast Missouri State University,1,45000.0,2,45000.0
ARIX Technologies Inc,1,256000.0,1,256000.0
"Sensatek Propulsion Technology, Inc.",1,743248.0,1,743248.0
"CATHBUDDY, INC.",1,1000000.0,1,1000000.0
Western Carolina University,1,399286.0,4,399286.0
Atrevida Science LLC,1,256000.0,3,256000.0
PRECISION THERANOSTICS INC,1,256000.0,1,256000.0
"YEBOAH, AMY",1,303226.0,1,303226.0
UBIROS INC.,1,256000.0,2,256000.0
MUJIELECTRIC LLC,1,304996.0,2,304996.0
SNOCHIP INC,1,275000.0,1,275000.0
"Immersed Games, Inc.",1,746721.0,1,746721.0
Emory University,2,1548297.0,2,774148.5
"SOWN TO GROW, INC.",2,1024999.0,2,512499.5
CIPHERSONIC LABS INC,1,303174.0,1,303174.0
Rutgers University Newark,2,349159.0,2,174579.5
Infecho Scientific LLC,1,224770.0,3,224770.0
"NEW GROWTH INNOVATION NETWORK, INC",1,299735.0,2,299735.0
University of Colorado at Denver-Downtown Campus,2,300000.0,2,150000.0
"Tiptek, LLC",1,274995.0,1,274995.0
MOKA BLOX LLC,1,255916.0,1,255916.0
DHICHIPS INC.,1,304988.0,2,304988.0
DIRECTED ANALYTICS INC.,1,256000.0,2,256000.0
"MIXTA RE, INC",1,304200.0,2,304200.0
College of William & Mary Richard Bland College,1,400000.0,1,400000.0
"Alligant Scientific, LLC",1,698255.0,1,698255.0
"BRIGHTLIGHT PHOTONICS, INC",1,275000.0,2,275000.0
"OBJECTIVE ED, INC.",2,1256000.0,2,628000.0
Thermomorph LLc,1,726305.0,2,726305.0
MESPILUS INC.,2,1487795.0,2,743897.5
MiraCosta College,1,1000000.0,2,1000000.0
RESONANCE SIGNATURES LLC,1,274997.0,1,274997.0
University of Oklahoma Norman Campus,5,6199975.0,11,1239995.0
"Heliobiosys, Inc.",2,1162595.0,3,581297.5
CHROMATIR TECHNOLOGIES LLC,2,1272654.0,2,636327.0
"Boydston Chemical Innovations, Incorportated",1,225000.0,2,225000.0
WATER ILLUMINATION INC,1,275000.0,1,275000.0
"APPLIED LIFESCIENCES & SYSTEMS POULTRY, INC.",1,750000.0,1,750000.0
"EXLATTICE, INC.",1,255934.0,1,255934.0
"Akanocure Pharmaceuticals, Inc.",3,2006000.0,2,668666.6666666666
GRAYMATTER ROBOTICS INC.,1,999824.0,1,999824.0
